Protein1,Protein2,PartialCor
BETACATENIN,PAXILLIN,-0.27832
BETACATENIN,PCNA,0.06237
BETACATENIN,RAD50,-0.00087
BID,COLLAGENVI,-0.08777
BID,EGFRPY1173,-0.2518
BID,HSP70,-0.12125
BID,NCADHERIN,-0.29177
BID,STATHMIN,-0.19776
BIM,CHK2,0.00018
BIM,CYCLINB1,-0.1477
BIM,GATA3,-0.16992
BIM,RBPS807S811,0.00129
CJUNPS73,CDK1,-0.09386
CJUNPS73,IRS1,-4e-04
CJUNPS73,JNKPT183Y185,-0.00037
CKIT,COLLAGENVI,-0.2652
CKIT,ERALPHA,0.00415
CKIT,IGFBP2,0.18339
CKIT,PAI1,0.12496
CMETPY1235,CD31,-0.15682
CMETPY1235,CHK2PT68,-0.24084
CMETPY1235,EGFRPY1173,-0.07155
CMETPY1235,MRE11,-0.08942
CMETPY1235,STATHMIN,-0.16652
CMYC,CDK1,-0.25307
CMYC,HER3,-0.10554
CMYC,JNK2,0.15023
CMYC,P27PT157,-0.3458
CMYC,P70S6KPT389,-0.26887
CMYC,STATHMIN,-0.22837
CMYC,YB1,-0.00057
CRAF,TUBERIN,-0.00032
CRAFPS338,GATA3,0.13561
CASPASE7CLEAVEDD198,LCK,-0.42098
CASPASE7CLEAVEDD198,S6PS240S244,-0.19209
CASPASE7CLEAVEDD198,ASNS,-0.24843
CAVEOLIN1,CHK2PT68,0.15906
CAVEOLIN1,COLLAGENVI,-0.29646
CAVEOLIN1,DJ1,-0.20015
CAVEOLIN1,FIBRONECTIN,0.18845
CAVEOLIN1,MAPKPT202Y204,-0.06605
CAVEOLIN1,P70S6KPT389,-0.23993
CAVEOLIN1,PKCALPHAPS657,-0.001
CAVEOLIN1,SRCPY527,-0.26184
CAVEOLIN1,STAT3PY705,-0.39658
CD31,EGFRPY1068,0.17621
CD31,LKB1,-0.25898
CD31,MRE11,-0.25093
CD31,P53,-0.13205
CD31,SHCPY317,-0.28267
CD31,SRCPY416,-0.28486
CD49B,CLAUDIN7,-0.15077
CDK1,CHK1,-0.00049
CDK1,CYCLINB1,-0.28562
CHK1,STATHMIN,-0.33113
CHK1PS345,CHK2PT68,-0.23244
CHK1PS345,GATA3,0.13322
CHK1PS345,NF2,-0.00018
CHK2,CYCLINB1,-0.25964
CHK2,EEF2,-0.00032
CHK2,INPP4B,0.00166
CHK2,KU80,-0.24095
CHK2,NF2,-0.13583
CHK2,P70S6K,-0.00037
CHK2PT68,MRE11,-0.18768
CHK2PT68,P53,-0.41632
CHK2PT68,STATHMIN,-0.16088
CIAP,YAPPS127,-0.00014
CLAUDIN7,ECADHERIN,-0.24253
CLAUDIN7,VEGFR2,-0.00364
COLLAGENVI,DVL3,0.26397
COLLAGENVI,EGFRPY1173,-0.18976
COLLAGENVI,ERALPHAPS118,0.0011
COLLAGENVI,FIBRONECTIN,-0.26841
COLLAGENVI,GATA3,-0.07057
COLLAGENVI,GSK3ALPHABETA,0.19635
COLLAGENVI,HSP70,-0.26461
COLLAGENVI,LCK,-0.11494
COLLAGENVI,MAPKPT202Y204,0.11755
COLLAGENVI,MTOR,0.26543
COLLAGENVI,S6,0.18641
COLLAGENVI,STAT3PY705,-0.00212
CYCLINB1,CYCLINE1,-0.32347
CYCLINB1,DJ1,0.13596
CYCLINB1,EGFRPY1173,9e-04
CYCLINB1,ERK2,0.00061
CYCLINB1,GSK3ALPHABETA,-0.1149
CYCLINB1,P70S6K,-0.00189
CYCLINB1,PCNA,-0.26396
CYCLINB1,RBPS807S811,-0.0028
CYCLINB1,S6,-0.24605
CYCLINB1,STAT3PY705,0.00216
CYCLINB1,ASNS,-0.30283
CYCLINE1,GATA3,0.14538
CYCLINE1,INPP4B,0.23307
CYCLINE1,S6,-2e-04
CYCLINE1,ASNS,-0.14042
DJ1,EIF4E,-0.16632
DJ1,FIBRONECTIN,0.08521
DJ1,JNK2,-0.00031
DJ1,MTOR,-0.16413
DJ1,PEA15,-0.30756
DVL3,EEF2K,-0.00055
DVL3,ERALPHA,0.00125
DVL3,FIBRONECTIN,-0.15347
DVL3,P70S6K,-0.28985
ECADHERIN,ERK2,0.07477
ECADHERIN,JNK2,0.04044
ECADHERIN,NF2,0.08295
ECADHERIN,PAXILLIN,0.34348
ECADHERIN,S6,-0.12084
ECADHERIN,STAT5ALPHA,0.09521
EEF2,ERK2,-0.29179
EEF2,GATA3,-0.03558
EEF2,HER2PY1248,0.1155
EEF2,NF2,-0.23443
EEF2,PAXILLIN,-0.25737
EEF2,RAD51,-0.0954
EEF2,S6,-0.16823
EEF2,SYK,-0.00348
EGFRPY1068,HER2PY1248,-0.50681
EGFRPY1068,HER3PY1298,-0.25786
EGFRPY1068,SHCPY317,-0.39498
EGFRPY1068,SRCPY416,-0.20689
EGFRPY1173,RAD51,-0.18987
EIF4E,SMAD1,-2e-05
ERALPHA,ERALPHAPS118,-0.35249
ERALPHA,FIBRONECTIN,0.20191
ERALPHA,GATA3,-0.22237
ERALPHA,GSK3ALPHABETAPS21S9,-0.12432
ERALPHA,IGFBP2,-0.16525
ERALPHA,MAPKPT202Y204,-0.17171
ERALPHA,NOTCH1,0.17709
ERALPHA,PCADHERIN,0.12437
ERALPHA,PDK1PS241,-0.20031
ERALPHA,STAT5ALPHA,0.16202
ERALPHA,VEGFR2,-0.17355
ERALPHA,YAPPS127,0.0023
ERALPHA,YB1PS102,0.19012
ERALPHA,ASNS,0.11631
ERALPHA,EGFR,0.1401
ERALPHAPS118,PR,-0.31177
ERALPHAPS118,SRCPY527,0.25763
ERK2,GSK3ALPHABETAPS21S9,-0.0011
ERK2,INPP4B,-0.05209
ERK2,KU80,-0.25107
ERK2,PEA15,-0.15505
FIBRONECTIN,GATA3,-0.23015
FIBRONECTIN,HER2PY1248,-0.0017
FIBRONECTIN,KU80,0.20373
FIBRONECTIN,MAPKPT202Y204,-0.27932
FIBRONECTIN,PKCALPHA,0.00054
FIBRONECTIN,RBPS807S811,0.27445
FIBRONECTIN,S6PS235S236,-0.15514
FIBRONECTIN,VEGFR2,-0.14895
FIBRONECTIN,YB1,2e-05
FIBRONECTIN,PAI1,-0.28103
FOXO3A,SHCPY317,-0.14624
GATA3,JNK2,-0.133
GATA3,MEK1PS217S221,0.11254
GATA3,MRE11,-0.00067
GATA3,P70S6K,-0.00119
GATA3,PAXILLIN,0.00116
GATA3,PDK1PS241,0.00022
GATA3,PKCALPHA,0.13814
GATA3,PKCALPHAPS657,0.14612
GATA3,RAD51,0.15995
GATA3,SMAD1,-0.00063
GATA3,SMAD3,0.09996
GATA3,SRCPY527,0.00064
GATA3,STAT5ALPHA,-0.29146
GATA3,VEGFR2,-0.16323
GATA3,YAP,0.07768
GATA3,YAPPS127,0.17618
GATA3,YB1PS102,0.06078
GATA3,JNKPT183Y185,-0.0669
GATA3,EGFR,0.19211
GSK3ALPHABETAPS21S9,NFKBP65PS536,-0.26414
GSK3ALPHABETAPS21S9,PRAS40PT246,-0.15583
GSK3ALPHABETAPS21S9,RBPS807S811,-0.33322
GSK3ALPHABETAPS21S9,SRCPY416,-0.15515
GSK3ALPHABETAPS21S9,SRCPY527,-0.07615
HER2,HER2PY1248,-0.55108
HER2,HSP70,0.00419
HER2,P70S6K,-0.13887
HER2,SRCPY416,0.00051
HER3,PKCALPHAPS657,0.24373
HER3PY1298,VEGFR2,0.00095
HSP70,MRE11,-0.19553
HSP70,NCADHERIN,-0.22771
HSP70,S6,0.18592
INPP4B,S6,0.0011
INPP4B,VEGFR2,-0.31942
KU80,NF2,-0.19094
KU80,S6,-0.16922
KU80,STAT5ALPHA,-0.17069
KU80,XRCC1,-0.00043
LCK,P38MAPK,-0.14634
LCK,PKCALPHAPS657,-0.231
LCK,SYK,-0.2582
LCK,TUBERIN,0.00037
MAPKPT202Y204,MEK1PS217S221,-0.36832
MAPKPT202Y204,S6,0.15955
MAPKPT202Y204,SRC,0.23617
MAPKPT202Y204,SRCPY527,-0.3029
MAPKPT202Y204,YB1PS102,-0.23038
MAPKPT202Y204,JNKPT183Y185,-0.27343
MAPKPT202Y204,EGFR,0.04652
MEK1PS217S221,P38PT180Y182,-0.00058
MIG6,RAD50,-0.1781
MRE11,P27PT157,-0.19531
MRE11,STATHMIN,-0.15554
MTOR,TUBERIN,-0.36478
MTOR,MTORPS2448,-0.11968
NCADHERIN,RAD51,-0.30679
NCADHERIN,STATHMIN,-4e-04
NFKBP65PS536,STAT5ALPHA,-0.20067
NF2,SMAD3,-0.00029
NOTCH1,STATHMIN,-0.27583
P38PT180Y182,JNKPT183Y185,-0.30502
P70S6K,SYK,-0.32971
P70S6KPT389,S6PS235S236,-0.18628
P90RSKPT359S363,PEA15,0.00011
PAXILLIN,TUBERIN,-0.22312
PAXILLIN,YB1,-0.00037
PCNA,RAD51,-0.21785
PCNA,SMAD3,-0.00029
PDK1PS241,TUBERIN,-0.16404
PKCALPHA,PKCALPHAPS657,-0.44047
PKCALPHA,EGFR,-0.1473
PKCDELTAPS664,RAD51,-0.00037
S6,S6PS235S236,-0.15816
S6,VEGFR2,-0.14979
S6PS235S236,S6PS240S244,-0.68929
SRC,SRCPY527,-0.37168
SRCPY416,SYK,-0.0479
SRCPY527,MTORPS2448,-0.00022
STAT5ALPHA,SYK,-0.25088
STAT5ALPHA,TUBERIN,-0.16236
VEGFR2,YAPPS127,-0.18311
YAP,YAPPS127,-0.31572
YAPPS127,ASNS,0.27638
