Protein1,Protein2,PartialCor
ERALPHA,YAPPS127,0.11979
ERALPHA,ASNS,0.17206
ERALPHA,EGFR,0.00073
ERALPHAPS118,INPP4B,-0.22663
ERALPHAPS118,PR,-0.00032
ERALPHAPS118,SMAD3,-0.18837
ERALPHAPS118,SRCPY527,0.00113
ERK2,GSK3ALPHABETAPS21S9,-0.18497
ERK2,KU80,-0.28222
ERK2,PEA15,-0.04972
FIBRONECTIN,GATA3,-0.14359
FIBRONECTIN,HER2PY1248,-0.15074
FIBRONECTIN,KU80,0.18714
FIBRONECTIN,MAPKPT202Y204,-0.20943
FIBRONECTIN,PKCALPHA,0.10425
FIBRONECTIN,RBPS807S811,0.17969
FIBRONECTIN,VEGFR2,-0.07386
FIBRONECTIN,YB1,-0.09872
FIBRONECTIN,PAI1,-0.22712
FOXO3A,SHCPY317,-0.14111
GATA3,JNK2,-0.11103
GATA3,MEK1PS217S221,0.13119
GATA3,MRE11,-0.03348
GATA3,P70S6K,-0.09792
GATA3,PAXILLIN,0.10253
GATA3,PDK1PS241,-0.06648
GATA3,PKCALPHA,0.05941
GATA3,PKCALPHAPS657,0.20034
GATA3,RAD51,0.10801
GATA3,SMAD1,-0.06852
GATA3,SMAD3,0.09509
GATA3,SRCPY527,0.09952
GATA3,STAT5ALPHA,-0.15036
GATA3,VEGFR2,-0.18342
GATA3,YAP,0.08777
GATA3,YAPPS127,0.09997
GATA3,YB1PS102,0.20307
GATA3,JNKPT183Y185,-0.09194
GATA3,EGFR,0.26381
GSK3ALPHABETAPS21S9,NFKBP65PS536,-0.2612
GSK3ALPHABETAPS21S9,PRAS40PT246,-0.1587
GSK3ALPHABETAPS21S9,RBPS807S811,-0.23298
GSK3ALPHABETAPS21S9,SRCPY527,-0.11092
HER2,HER2PY1248,-0.66859
HER2,HSP70,0.10881
HER2,P70S6K,-0.00284
HER2,PKCALPHAPS657,0.10489
HER2,SRCPY416,0.15041
HER3,PKCALPHAPS657,0.17791
HER3PY1298,NCADHERIN,-0.17086
HER3PY1298,VEGFR2,0.2137
HSP70,MRE11,-0.25776
HSP70,NCADHERIN,-0.14832
HSP70,S6,0.14515
INPP4B,KU80,-0.11327
INPP4B,PR,-0.18664
INPP4B,S6,0.06329
INPP4B,VEGFR2,-0.19812
KU80,NF2,-0.13378
KU80,S6,-0.20331
KU80,XRCC1,-0.17502
LCK,P38MAPK,3e-05
LCK,PKCALPHAPS657,-0.00077
LCK,SYK,-0.28215
LCK,TUBERIN,0.15101
MAPKPT202Y204,MEK1PS217S221,-0.38594
MAPKPT202Y204,S6,0.08139
MAPKPT202Y204,SRC,0.00057
MAPKPT202Y204,SRCPY527,-0.33932
MAPKPT202Y204,YB1PS102,-0.17901
MAPKPT202Y204,JNKPT183Y185,-0.1505
MAPKPT202Y204,EGFR,0.09178
MEK1PS217S221,P38PT180Y182,-0.27029
MEK1PS217S221,SHCPY317,-0.15351
MRE11,P27PT157,-0.00018
MRE11,STATHMIN,-0.18115
MTOR,TUBERIN,-0.37199
MTOR,MTORPS2448,-0.25578
NCADHERIN,RAD51,-0.22087
NCADHERIN,STATHMIN,-0.18538
NFKBP65PS536,STAT5ALPHA,-0.00202
NF2,SMAD3,-0.22438
NOTCH1,STATHMIN,-0.27696
P38PT180Y182,JNKPT183Y185,-0.1067
P70S6K,SYK,-0.0024
P70S6KPT389,S6PS235S236,-0.16522
P90RSKPT359S363,PEA15,0.07272
PAXILLIN,TUBERIN,-0.29786
PAXILLIN,YB1,-0.30958
PCNA,RAD51,-0.21798
PCNA,SMAD3,-0.20839
PDK1PS241,TUBERIN,-0.14436
PI3KP110ALPHA,SMAD3,-0.07646
PKCALPHA,PKCALPHAPS657,-0.36764
PKCALPHA,EGFR,-0.13748
PKCDELTAPS664,RAD51,-0.1607
PKCDELTAPS664,SMAD4,-0.13055
S6,S6PS235S236,-0.13973
S6,VEGFR2,-0.00064
S6PS235S236,S6PS240S244,-0.74472
SRC,SRCPY527,-0.04676
SRCPY416,SYK,-0.10152
SRCPY527,MTORPS2448,-0.21604
STAT5ALPHA,SYK,-0.2582
STAT5ALPHA,TUBERIN,-0.17986
VEGFR2,YAPPS127,-0.22863
YAP,YAPPS127,-0.3013
YAPPS127,ASNS,0.20621
